Line number,Character,Off screen,Place,Time,Line,Word count
37,Young man,False,int. coffee shop,morning,"Correct. Just like banks, these places are insured. The managers don't give a fuck, they're just tryin' to get ya out the door before you start pluggin' diners. Waitresses, forget it, they ain't takin' a bullet for the register. Busboys, some wetback gettin' paid a dollar fifty a hour gonna really give a fuck you're stealin' from the owner. Customers are sittin' there with food in their mouths, they don't know what's goin' on. One minute they're havin' a Denver omelet, next minute somebody's stickin' a gun in their face.",90
38,Young man,False,int. coffee shop,morning,"See, I got the idea last liquor store we stuck up. 'Member all those customers kept comin' in?",18
39,Young woman,False,int. coffee shop,morning,Yeah.,1
40,Young man,False,int. coffee shop,morning,Then you got the idea to take everybody's wallet.,9
41,Young woman,False,int. coffee shop,morning,Uh-huh.,1
42,Young man,False,int. coffee shop,morning,That was a good idea.,5
43,Young woman,False,int. coffee shop,morning,Thanks.,1
44,Young man,False,int. coffee shop,morning,We made more from the wallets then we did the register.,11
45,Young woman,False,int. coffee shop,morning,Yes we did.,3
46,Young man,False,int. coffee shop,morning,A lot of people go to restaurants.,7
47,Young woman,False,int. coffee shop,morning,A lot of wallets.,4
48,Young man,False,int. coffee shop,morning,"Pretty smart, huh?",3
49,Young woman,False,int. coffee shop,morning,"Pretty smart. I'm ready, let's go, right here, right now.",10
50,Young man,False,int. coffee shop,morning,"Remember, same as before, you're crowd control, I handle the employees.",11
51,Young woman,False,int. coffee shop,morning,Got it.,2
52,Young woman,False,int. coffee shop,morning,"I love you, Pumpkin.",4
53,Young man,False,int. coffee shop,morning,"I love you, Honey Bunny.",5
54,Pumpkin,False,int. coffee shop,morning,Everybody be cool this is a robbery!,7
55,Honey Bunny,False,int. coffee shop,morning,Any of you fuckin' pricks move and I'll execute every one of you motherfuckers! Got that?,16
56,Jules,False,int. '74 Chevy (moving),morning,"– Okay now, tell me about the hash bars?",8
57,Vincent,False,int. '74 Chevy (moving),morning,What so you want to know?,6
58,Jules,False,int. '74 Chevy (moving),morning,"Well, hash is legal there, right?",6
59,Vincent,False,int. '74 Chevy (moving),morning,"Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places.",37
60,Jules,False,int. '74 Chevy (moving),morning,Those are hash bars?,4
61,Vincent,False,int. '74 Chevy (moving),morning,"Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause – get a load of this – if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have.",69
62,Jules,False,int. '74 Chevy (moving),morning,"That did it, man – I'm fuckin' goin', that's all there is to it.",13
63,Vincent,False,int. '74 Chevy (moving),morning,You'll dig it the most. But you know what the funniest thing about Europe is?,15
64,Jules,False,int. '74 Chevy (moving),morning,What?,1
65,Vincent,False,int. '74 Chevy (moving),morning,"It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different.",21
66,Jules,False,int. '74 Chevy (moving),morning,Examples?,1
67,Vincent,False,int. '74 Chevy (moving),morning,"Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?",52
68,Jules,False,int. '74 Chevy (moving),morning,They don't call it a Quarter Pounder with Cheese?,9
69,Vincent,False,int. '74 Chevy (moving),morning,"No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is.",17
70,Jules,False,int. '74 Chevy (moving),morning,What'd they call it?,4
71,Vincent,False,int. '74 Chevy (moving),morning,Royale with Cheese.,3
72,Jules,False,int. '74 Chevy (moving),morning,Royale with Cheese. What'd they call a Big Mac?,9
73,Vincent,False,int. '74 Chevy (moving),morning,"Big Mac's a Big Mac, but they call it Le Big Mac.",12
74,Jules,False,int. '74 Chevy (moving),morning,Le Big Mac. What do they call a Whopper?,9
75,Vincent,False,int. '74 Chevy (moving),morning,"I dunno, I didn't go into a Burger King. But you know what they put on french fries in Holland instead of ketchup?",23
76,Jules,False,int. '74 Chevy (moving),morning,What?,1
77,Vincent,False,int. '74 Chevy (moving),morning,Mayonnaise.,1
78,Jules,False,int. '74 Chevy (moving),morning,Goddamn!,1
79,Vincent,False,int. '74 Chevy (moving),morning,"I seen 'em do it. And I don't mean a little bit on the side of the plate, they fuckin' drown 'em in it.",24
80,Jules,False,int. '74 Chevy (moving),morning,Uuccch!,1
81,Jules,False,int. Chevy (trunk),morning,We should have shotguns for this kind of deal.,9
82,Vincent,False,int. Chevy (trunk),morning,How many up there?,4
83,Jules,False,int. Chevy (trunk),morning,Three or four.,3
84,Vincent,False,int. Chevy (trunk),morning,Counting our guy?,3
85,Jules,False,int. Chevy (trunk),morning,I'm not sure.,3
86,Vincent,False,int. Chevy (trunk),morning,So there could be five guys up there?,8
87,Jules,False,int. Chevy (trunk),morning,It's possible.,2
88,Vincent,False,int. Chevy (trunk),morning,We should have fuckin' shotguns.,5
89,Vincent,False,ext. apartment building courtyard,morning,What's her name?,3
90,Jules,False,ext. apartment building courtyard,morning,Mia.,1
91,Vincent,False,ext. apartment building courtyard,morning,How did Marsellus and her meet?,6
92,Jules,False,ext. apartment building courtyard,morning,"I dunno, however people meet people. She usta be an actress.",11
93,Vincent,False,ext. apartment building courtyard,morning,She ever do anything I woulda saw?,7
94,Jules,False,ext. apartment building courtyard,morning,I think her biggest deal was she starred in a pilot.,11
95,Vincent,False,ext. apartment building courtyard,morning,What's a pilot?,3
96,Jules,False,ext. apartment building courtyard,morning,"Well, you know the shows on TV?",7
97,Vincent,False,ext. apartment building courtyard,morning,I don't watch TV.,4
98,Jules,False,ext. apartment building courtyard,morning,"Yes, but you're aware that there's an invention called television, and on that invention they show shows?",17
99,Vincent,False,ext. apartment building courtyard,morning,Yeah.,1
100,Jules,False,ext. apartment building courtyard,morning,"Well, the way they pick the shows on TV is they make one show, and that show's called a pilot. And they show that one show to the people who pick the shows, and on the strength of that one show, they decide if they want to make more shows. Some get accepted and become TV programs, and some don't, and become nothing. She starred in one of the ones that became nothing.",73
101,Jules,False,int. reception area (apartment building),morning,"You remember Antwan Rockamora? Half- black, half-Samoan, usta call him Tony Rocky Horror.",13
102,Vincent,False,int. reception area (apartment building),morning,"Yeah maybe, fat right?",4
103,Jules,False,int. reception area (apartment building),morning,"I wouldn't go so far as to call the brother fat. He's got a weight problem. What's the nigger gonna do, he's Samoan.",23
104,Vincent,False,int. reception area (apartment building),morning,"I think I know who you mean, what about him?",10
105,Jules,False,int. reception area (apartment building),morning,"Well, Marsellus fucked his ass up good. And word around the campfire, it was on account of Marsellus Wallace's wife.",20
106,Vincent,False,int. elevator,morning,"What'd he do, fuck her?",5
107,Jules,False,int. elevator,morning,"No no no no no no no, nothin' that bad.",10
108,Vincent,False,int. elevator,morning,Well what then?,3
109,Jules,False,int. elevator,morning,He gave her a foot massage.,6
110,Vincent,False,int. elevator,morning,A foot massage?,3
111,Vincent,False,int. elevator,morning,That's all?,2
112,Vincent,False,int. elevator,morning,What did Marsellus do?,4
113,Jules,False,int. elevator,morning,"Sent a couple of guys over to his place. They took him out on the patio of his apartment, threw his ass over the balcony. Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses – nigger fell through that. Since then, he's kinda developed a speech impediment.",56
114,Vincent,False,int. elevator,morning,That's a damn shame.,4
115,Vincent,False,int. apartment building hallway,morning,"Still I hafta say, play with matches, ya get burned.",10
116,Jules,False,int. apartment building hallway,morning,Whaddya mean?,2
117,Vincent,False,int. apartment building hallway,morning,You don't be givin' Marsellus Wallace's new bride a foot massage.,11
118,Jules,False,int. apartment building hallway,morning,You don't think he overreacted?,5
119,Vincent,False,int. apartment building hallway,morning,"Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction.",17
120,Jules,False,int. apartment building hallway,morning,"It was a foot massage, a foot massage is nothing, I give my mother a foot massage.",17
121,Vincent,False,int. apartment building hallway,morning,"It's laying hands on Marsellus Wallace's new wife in a familiar way. Is it as bad as eatin' her out – no, but you're in the same fuckin' ballpark.",28
122,Jules,False,int. apartment building hallway,morning,"Whoa... whoa... whoa... stop right there. Eatin' a bitch out, and givin' a bitch a foot massage ain't even the same fuckin' thing.",23
123,Vincent,False,int. apartment building hallway,morning,"Not the same thing, the same ballpark.",7
124,Jules,False,int. apartment building hallway,morning,"It ain't no ballpark either. Look maybe your method of massage differs from mine, but touchin' his lady's feet, and stickin' your tongue in her holyiest of holyies, ain't the same ballpark, ain't the same league, ain't even the same fuckin' sport. Foot massages don't mean shit.",47
125,Vincent,False,int. apartment building hallway,morning,Have you ever given a foot massage?,7
126,Jules,False,int. apartment building hallway,morning,Don't be tellin' me about foot massages – I'm the foot fuckin' master.,12
127,Vincent,False,int. apartment building hallway,morning,Given a lot of 'em?,5
128,Jules,False,int. apartment building hallway,morning,"Shit yeah. I got my technique down man, I don't tickle or nothin'.",13
129,Vincent,False,int. apartment building hallway,morning,Have you ever given a guy a foot massage?,9
130,Jules,False,int. apartment building hallway,morning,Fuck you.,2
131,Vincent,False,int. apartment building hallway,morning,How many?,2
132,Jules,False,int. apartment building hallway,morning,Fuck you.,2
133,Vincent,False,int. apartment building hallway,morning,Would you give me a foot massage – I'm kinda tired.,10
134,Jules,False,int. apartment building hallway,morning,"Man, you best back off, I'm gittin' pissed – this is the door.",12
135,Jules,False,int. apartment building hallway,morning,What time is it?,4
136,Vincent,False,int. apartment building hallway,morning,Seven-twenty-two in the morning.,4
137,Jules,False,int. apartment building hallway,morning,"It ain't quite time, let's hang back.",7
138,Jules,False,int. apartment building hallway,morning,"Look, just because I wouldn't give no man a foot massage, don't make it right for Marsellus to throw Antwan off a building into a glass- motherfuckin-house, fuckin' up the way the nigger talks. That ain't right, man. Motherfucker do that to me, he better paralyze my ass, 'cause I'd kill'a motherfucker.",52
139,Vincent,False,int. apartment building hallway,morning,"I'm not sayin' he was right, but you're sayin' a foot massage don't mean nothing, and I'm sayin' it does. I've given a million ladies a million foot massages and they all meant somethin'. We act like they don't, but they do. That's what's so fuckin' cool about 'em. This sensual thing's goin' on that nobody's talkin about, but you know it and she knows it, fuckin' Marsellus knew it, and Antwan shoulda known fuckin' better. That's his fuckin' wife, man. He ain't gonna have a sense of humor about that shit.",92
140,Jules,False,int. apartment building hallway,morning,"That's an interesting point, but let's get into character.",9
141,Vincent,False,int. apartment building hallway,morning,What's her name again?,4
142,Jules,False,int. apartment building hallway,morning,Mia. Why you so interested in big man's wife?,9
143,Vincent,False,int. apartment building hallway,morning,"Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia.",18
144,Jules,False,int. apartment building hallway,morning,Take care of her?,4
145,Vincent,False,int. apartment building hallway,morning,Not that! Take her out. Show her a good time. Don't let her get lonely.,15
146,Jules,False,int. apartment building hallway,morning,You're gonna be takin' Mia Wallace out on a date?,10
147,Vincent,False,int. apartment building hallway,morning,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.,24
148,Vincent,False,int. apartment building hallway,morning,It's not a date.,4
149,Jules,False,int. apartment (room 49),morning,Hey kids.,2
150,Jules,False,int. apartment (room 49),morning,How you boys doin'?,4
151,Jules,False,int. apartment (room 49),morning,"Am I trippin', or did I just ask you a question.",11
152,Brett,False,int. apartment (room 49),morning,We're doin' okay.,3
153,Jules,False,int. apartment (room 49),morning,Do you know who we are?,6
154,Jules,False,int. apartment (room 49),morning,"We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?",14
155,Jules,False,int. apartment (room 49),morning,"Now I'm gonna take a wild guess here: you're Brett, right?",11
156,Brett,False,int. apartment (room 49),morning,I'm Brett.,2
157,Jules,False,int. apartment (room 49),morning,"I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?",13
158,Brett,False,int. apartment (room 49),morning,I remember him.,3
159,Jules,False,int. apartment (room 49),morning,"Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that. What'cha eatin'?",17
160,Brett,False,int. apartment (room 49),morning,Hamburgers.,1
161,Jules,False,int. apartment (room 49),morning,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?,10
162,Brett,False,int. apartment (room 49),morning,Cheeseburgers.,1
163,Jules,False,int. apartment (room 49),morning,"No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the- Box, where?",12
164,Brett,False,int. apartment (room 49),morning,Big Kahuna Burger.,3
165,Jules,False,int. apartment (room 49),morning,"Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?",24
166,Brett,False,int. apartment (room 49),morning,They're good.,2
167,Jules,False,int. apartment (room 49),morning,Mind if I try one of yours?,7
168,Brett,False,int. apartment (room 49),morning,No.,1
169,Jules,False,int. apartment (room 49),morning,"Yours is this one, right?",5
170,Brett,False,int. apartment (room 49),morning,Yeah.,1
171,Jules,False,int. apartment (room 49),morning,"Uuummmm, that's a tasty burger. Vince, you ever try a Big Kahuna Burger?",13
172,Vincent,False,int. apartment (room 49),morning,No.,1
173,Jules,False,int. apartment (room 49),morning,"You wanna bite, they're real good.",6
174,Vincent,False,int. apartment (room 49),morning,I ain't hungry.,3
175,Jules,False,int. apartment (room 49),morning,"Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger. You know what they call a Quarter Pounder with Cheese in France?",51
176,Brett,False,int. apartment (room 49),morning,No.,1
177,Jules,False,int. apartment (room 49),morning,"Tell 'em, Vincent.",3
178,Vincent,False,int. apartment (room 49),morning,Royale with Cheese.,3
179,Jules,False,int. apartment (room 49),morning,"Royale with Cheese, you know why they call it that?",10
180,Brett,False,int. apartment (room 49),morning,Because of the metric system?,5
181,Jules,False,int. apartment (room 49),morning,"Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system. What's in this?",18
182,Brett,False,int. apartment (room 49),morning,Sprite.,1
183,Jules,False,int. apartment (room 49),morning,"Sprite, good, mind if I have some of your tasty beverage to wash this down with?",16
184,Brett,False,int. apartment (room 49),morning,Sure.,1
185,Jules,False,int. apartment (room 49),morning,"Uuuuummmm, hit's the spot! You, Flock of Seagulls, you know what we're here for?",14
186,Jules,False,int. apartment (room 49),morning,"Then why don't you tell my boy here Vince, where you got the shit hid.",15
187,Marvin,False,int. apartment (room 49),morning,It's under the be –,4
188,Jules,False,int. apartment (room 49),morning,– I don't remember askin' you a goddamn thing. You were sayin'?,11
189,Roger,False,int. apartment (room 49),morning,It's under the bed.,4
190,Vincent,False,int. apartment (room 49),morning,Got it.,2
191,Jules,False,int. apartment (room 49),morning,We happy?,2
192,Jules,False,int. apartment (room 49),morning,Vincent!,1
193,Jules,False,int. apartment (room 49),morning,We happy?,2
194,Vincent,False,int. apartment (room 49),morning,We're happy.,2
195,Brett,False,int. apartment (room 49),morning,"Look, what's your name? I got his name's Vincent, but what's yours?",12
196,Jules,False,int. apartment (room 49),morning,"My name's Pitt, and you ain't talkin' your ass outta this shit.",12
197,Brett,False,int. apartment (room 49),morning,"I just want you to know how sorry we are about how fucked up things got between us and Mr. Wallace. When we entered into this thing, we only had the best intentions –",33
198,Jules,False,int. apartment (room 49),morning,"Oh, I'm sorry. Did that break your concentration? I didn't mean to do that. Please, continue. I believe you were saying something about ""best intentions.""",25
199,Jules,False,int. apartment (room 49),morning,"Whatsamatter? Oh, you were through anyway. Well, let me retort. Would you describe for me what Marsellus Wallace looks like?",20
200,Jules,False,int. apartment (room 49),morning,What country you from!,4
201,Brett,False,int. apartment (room 49),morning,What?,1
202,Jules,False,int. apartment (room 49),morning,"""What"" ain't no country I know! Do they speak English in ""What?""",12
203,Brett,False,int. apartment (room 49),morning,What?,1
204,Jules,False,int. apartment (room 49),morning,English-motherfucker-can-you-speak- it?,2
205,Brett,False,int. apartment (room 49),morning,Yes.,1
206,Jules,False,int. apartment (room 49),morning,Then you understand what I'm sayin'?,6
207,Brett,False,int. apartment (room 49),morning,Yes.,1
208,Jules,False,int. apartment (room 49),morning,Now describe what Marsellus Wallace looks like!,7
209,Brett,False,int. apartment (room 49),morning,What?,1
210,Jules,False,int. apartment (room 49),morning,"Say ""What"" again! C'mon, say ""What"" again! I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!",21
211,Jules,False,int. apartment (room 49),morning,Now describe to me what Marsellus Wallace looks like!,9
212,Brett,False,int. apartment (room 49),morning,Well he's... he's... black –,4
213,Jules,False,int. apartment (room 49),morning,– go on!,2
214,Brett,False,int. apartment (room 49),morning,...and he's... he's... bald –,4
215,Jules,False,int. apartment (room 49),morning,– does he look like a bitch?!,6
216,Brett,False,int. apartment (room 49),morning,What?,1
217,Jules,False,int. apartment (room 49),morning,Does-he-look-like-a-bitch?!,1
218,Brett,False,int. apartment (room 49),morning,No.,1
219,Jules,False,int. apartment (room 49),morning,Then why did you try to fuck 'im like a bitch?!,11
220,Brett,False,int. apartment (room 49),morning,I didn't.,2
221,Jules,False,int. apartment (room 49),morning,"Yes ya did Brett. Ya tried ta fuck 'im. You ever read the Bible, Brett?",15
222,Brett,False,int. apartment (room 49),morning,Yes.,1
223,Jules,False,int. apartment (room 49),morning,"There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know my name is the Lord when I lay my vengeance upon you.""",107
224,Marsellus,True,int. apartment (room 49),morning,"I think you're gonna find – when all this shit is over and done – I think you're gonna find yourself one smilin' motherfucker. Thing is Butch, right now you got ability. But painful as it may be, ability don't last. Now that's a hard motherfuckin' fact of life, but it's a fact of life your ass is gonna hafta git realistic about. This business is filled to the brim with unrealistic motherfuckers who thought their ass aged like wine. Besides, even if you went all the way, what would you be? Feather-weight champion of the world. Who gives a shit? I doubt you can even get a credit card based on that.",111
225,Marsellus,True,int. apartment (room 49),morning,"Now the night of the fight, you may fell a slight sting, that's pride fuckin' wit ya. Fuck pride! Pride only hurts, it never helps. Fight through that shit. 'Cause a year from now, when you're kickin' it in the Caribbean you're gonna say, ""Marsellus Wallace was right.""",48
226,Butch,False,int. apartment (room 49),morning,I got no problem with that.,6
227,Marsellus,True,int. apartment (room 49),morning,"In the fifth, your ass goes down.",7
228,Marsellus,True,int. apartment (room 49),morning,Say it!,2
229,Butch,False,int. apartment (room 49),morning,"In the fifth, my ass goes down.",7
230,English Dave,False,ext. Sally LeRoy's,day,"Vincent Vega, our man in Amsterdam, git your ass on in here.",12
231,Vincent,False,int. Sally LeRoy's,day,Where's the big man?,4
232,English Dave,False,int. Sally LeRoy's,day,"He's over there, finishing up some business.",7
233,English Dave,True,int. Sally LeRoy's,day,"Hang back for a second or two, and when you see the white boy leave, go on over. In the meanwhile, can I make you an espresso?",27
234,Vincent,False,int. Sally LeRoy's,day,How 'bout a cup of just plain lo' American?,9
235,English Dave,False,int. Sally LeRoy's,day,Comin' up. I hear you're taking Mia out tomorrow?,9
236,Vincent,False,int. Sally LeRoy's,day,At Marsellus' request.,3
237,English Dave,False,int. Sally LeRoy's,day,Have you met Mia?,4
238,Vincent,False,int. Sally LeRoy's,day,Not yet.,2
239,Vincent,False,int. Sally LeRoy's,day,What's so funny?,3
240,English Dave,False,int. Sally LeRoy's,day,Not a goddamn thing.,4
241,Vincent,False,int. Sally LeRoy's,day,"Look, I'm not a idiot. She's the big man's fuckin' wife. I'm gonna sit across a table, chew my food with my mouth closed, laugh at her jokes and that's all I'm gonna do.",34
242,English Dave,False,int. Sally LeRoy's,day,"My name's Paul, and this is between y'all.",8
243,Butch,False,int. Sally LeRoy's,day,Can I get a pack'a Red Apples?,7
244,English Dave,False,int. Sally LeRoy's,day,Filters?,1
245,Butch,False,int. Sally LeRoy's,day,Non.,1
246,Butch,False,int. Sally LeRoy's,day,"Lookin' at somethin', friend?",4
247,Vincent,False,int. Sally LeRoy's,day,"I ain't your friend, palooka.",5
248,Butch,False,int. Sally LeRoy's,day,What was that?,3
249,Vincent,False,int. Sally LeRoy's,day,"I think ya heard me just fine, punchy.",8
250,Marsellus,True,int. Sally LeRoy's,day,"Vincent Vega has entered the building, git your ass over here!",11
251,English Dave,True,int. Sally LeRoy's,day,"Pack of Red Apples, dollar-forty.",5
252,Jody,False,int. Lance's house (kitchen),night,...I'll lend it to you. It's a great book on body piercing.,12
253,Trudi,False,int. Lance's house (kitchen),night,"You know how they use that gun when they pierce your ears? They don't use that when they pierce your nipples, do they?",23
254,Jody,False,int. Lance's house (kitchen),night,"Forget that gun. That gun goes against the entire idea behind piercing. All of my piercing, sixteen places on my body, every one of 'em done with a needle. Five in each ear. One through the nipple on my left breast. One through my right nostril. One through my left eyebrow. One through my lip. One in my clit. And I wear a stud in my tongue.",67
255,Vincent,False,int. Lance's house (kitchen),night,"Excuse me, sorry to interrupt. I'm curious, why would you get a stud in your tongue?",16
256,Jody,False,int. Lance's house (kitchen),night,It's a sex thing. It helps fellatio.,7
257,Lance,True,int. Lance's house (kitchen),night,"Vince, you can come in now!",6
258,Lance,False,int. Lance's bedroom,night,"Now this is Panda, from Mexico. Very good stuff. This is Bava, different, but equally good. And this is Choco from the Hartz Mountains of Germany. Now the first two are the same, forty- five an ounce – those are friend prices – but this one... ...this one's a little more expensive. It's fifty-five. But when you shoot it, you'll know where that extra money went. Nothing wrong with the first two. It's real, real, real, good shit. But this one's a fuckin' madman.",82
259,Vincent,False,int. Lance's bedroom,night,"Remember, I just got back from Amsterdam.",7
260,Lance,False,int. Lance's bedroom,night,"Am I a nigger? Are you in Inglewood? No. You're in my house. White people who know the difference between good shit and bad shit, this is the house they come to. My shit, I'll take the Pepsi Challenge with Amsterdam shit any ol' day of the fuckin' week.",49
261,Vincent,False,int. Lance's bedroom,night,That's a bold statement.,4
262,Lance,False,int. Lance's bedroom,night,"This ain't Amsterdam, Vince. This is a seller's market. Coke is fuckin' dead as disco. Heroin's comin' back in a big fuckin' way. It's this whole seventies retro. Bell bottoms, heroin, they're as hot as hell.",36
263,Vincent,False,int. Lance's bedroom,night,"Give me three hundred worth of the madman. If it's as good as you say, I'll be back for a thousand.",21
264,Lance,False,int. Lance's bedroom,night,"I just hope I still have it. Whaddya think of Trudi? She ain't got a boyfriend, wanna hand out an' get high?",22
265,Vincent,False,int. Lance's bedroom,night,Which one's Trudi? The one with all the shit in her face?,12
266,Lance,False,int. Lance's bedroom,night,"No, that's Jody. That's my wife.",6
267,Vincent,False,int. Lance's bedroom,night,I'm on my way somewhere. I got a dinner engagement. Rain check?,12
268,Lance,False,int. Lance's bedroom,night,No problem?,2
269,Vincent,False,int. Lance's bedroom,night,You don't mind if I shoot up here?,8
270,Lance,False,int. Lance's bedroom,night,"Me casa, su casa.",4
271,Vincent,False,int. Lance's bedroom,night,Mucho gracias.,2
272,Lance,False,int. Lance's bedroom,night,Still got your Malibu?,4
273,Vincent,False,int. Lance's bedroom,night,You know what some fucker did to it the other day?,11
274,Lance,False,int. Lance's bedroom,night,What?,1
275,Vincent,False,int. Lance's bedroom,night,Fuckin' keyed it.,3
276,Lance,False,int. Lance's bedroom,night,"Oh man, that's fucked up.",5
277,Vincent,False,int. Lance's bedroom,night,"Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days – five days, and some dickless piece of shit fucks with it.",29
278,Lance,False,int. Lance's bedroom,night,"They should be fuckin' killed. No trial, no jury, straight to execution.",12
